TC_plate,TC_well,Condition,TimeDays,CPM_in_100_uL_protein_depleted_medium,CPM_in_100_uL_cell_protein_extract,percentage_of_protein_depleted_medium_counted,percentage_of_cell_protein_extract_counted,CPM_ratio_protein_depleted_medium_over_cell_protein,CPM_ratio_protein_depleted_medium_over_total_observed_CPM,X_to_1_coeff_Ci_per_L_to_CPM_protein_depleted_medium,X_to_0_coeff_Ci_per_L_to_CPM_protein_depleted_medium,specific_activity_in_protein_depleted_medium_nanoCi_per_L,activity_in_protein_depleted_medium_picoCi,X_to_1_coeff_Ci_per_L_to_CPM_cell_protein_extract,X_to_0_coeff_Ci_per_L_to_CPM_cell_protein_extract,specific_activity_in_cell_protein_extract_nanoCi_per_L,activity_in_cell_protein_extract_picoCi,curie_ratio_protein_depleted_medium_over_cell_protein,curie_ratio_protein_depleted_medium_over_total_observed_CPM
20,1,DDTT,1,282,6307,0.181818182,0.666666667,0.163944823,0.140852745,66322046.11,21.95533141,3920.938569,588.1407854,110263860.3,464.2044674,52989.21622,7948.382434,0.073995029,0.068896994
20,2,DDTT,1,288,6846,0.181818182,0.666666667,0.154250657,0.133637054,66322046.11,21.95533141,4011.406225,601.7109337,110263860.3,464.2044674,57877.49058,8681.623586,0.069308572,0.06481625
20,3,DDTT,1,280,6754,0.181818182,0.666666667,0.152008686,0.13195099,66322046.11,21.95533141,3890.782684,583.6174026,110263860.3,464.2044674,57043.12835,8556.469252,0.068207737,0.063852502
20,4,DDTT,1,269,7203,0.181818182,0.666666667,0.136933685,0.120441224,66322046.11,21.95533141,3724.925316,558.7387975,110263860.3,464.2044674,61115.17878,9167.276818,0.060949266,0.057447861
20,5,DDTT,1,330,6963,0.181818182,0.666666667,0.173775671,0.148048452,66322046.11,21.95533141,4644.679811,696.7019716,110263860.3,464.2044674,58938.58167,8840.78725,0.078805422,0.073048782
20,6,DDTT,1,320,6960,0.181818182,0.666666667,0.168582375,0.144262295,66322046.11,21.95533141,4493.900386,674.0850578,110263860.3,464.2044674,58911.37421,8836.706131,0.076282389,0.070875813
20,7,TT,1,299,6856,0.181818182,0.666666667,0.159908596,0.137863101,66322046.11,21.95533141,4177.263592,626.5895389,110263860.3,464.2044674,57968.18212,8695.227318,0.072061318,0.067217534
20,8,TT,1,292,6896,0.181818182,0.666666667,0.155259087,0.134393305,66322046.11,21.95533141,4071.717995,610.7576992,110263860.3,464.2044674,58330.94831,8749.642246,0.069803734,0.065249103
20,9,TT,1,297,7153,0.181818182,0.666666667,0.152243814,0.132128124,66322046.11,21.95533141,4147.107707,622.0661561,110263860.3,464.2044674,60661.72105,9099.258158,0.068364491,0.063989857
20,10,TT,1,280,7371,0.181818182,0.666666667,0.139284584,0.122256182,66322046.11,21.95533141,3890.782684,583.6174026,110263860.3,464.2044674,62638.79676,9395.819514,0.062114582,0.058481997
