"treatment","TreatmentLong","maximum","mean","median"
"V","Vehicle",39.29377,27.71185,27.78489
"V","Vehicle",26.83282,20.36723,20.59126
"V","Vehicle",26.68333,14.18284,14
"V","Vehicle",19.69772,10.03608,8.24621
"V","Vehicle",16,10.59467,10
"V","Vehicle",17.08801,12.82832,12.08276
"V","Vehicle",40,22.00127,20.88061
"V","Vehicle",49.47727,37.25759,37.36308
"V","Vehicle",10.77033,9.7469,10
"V","Vehicle",14,11.29669,12
"V","Vehicle",16,15.19371,16
"V","Vehicle",26,19.73503,21.54066
"V","Vehicle",15.23155,12.68543,12.64911
"V","Vehicle",27.85678,22.29844,22
"V","Vehicle",26,19.37465,20.09975
"V","Vehicle",28.28427,25.06773,25.01843
"V","Vehicle",21.54066,15.24108,16.12452
"V","Vehicle",25.6125,19.35175,22.62742
"V","Vehicle",22,15.00269,16
"V","Vehicle",19.69772,11.75372,10.77033
"V","Vehicle",12.80625,12.17747,12.16553
"V","Vehicle",26,15.59326,14.14214
"V","Vehicle",29.12044,16.05985,14
"V","Vehicle",41.61731,36.7882,39.29377
"V","Vehicle",19.69772,15.38144,14.56022
"V","Vehicle",14,9.79587,8.94427
"V","Vehicle",22,19.4843,18.92081
"V","Vehicle",16.12452,11.89474,12.64911
"V","Vehicle",32,26.46854,28.63564
"V","Vehicle",29.73214,20.54818,21.26029
"V","Vehicle",21.54066,17.3961,16.49242
"V","Vehicle",16.97056,9.79162,10
"V","Vehicle",26.68333,20.90932,22.80351
"V","Vehicle",24.16609,21.32502,21.54066
"V","Vehicle",28.42534,25.17447,26.07681
"V","Vehicle",17.88854,9.52191,8
"V","Vehicle",18,12.03838,12
"V","Vehicle",31.30495,21.54638,22.36068
"V","Vehicle",20,15.69021,18
"V","Vehicle",22,18.53942,18
"V","Vehicle",14,13.31844,14
"V","Vehicle",26,20.19708,17.99966
"V","Vehicle",14.14214,11.27216,11.6619
"V","Vehicle",15.6205,9.32162,8.48528
"V","Vehicle",20.88061,16.77923,16.49242
"V","Vehicle",20.39608,16.13011,18
"V","Vehicle",24,15.54588,12.80625
"V","Vehicle",18,11.21986,10
"V","Vehicle",18.97367,16.96486,17.08801
"V","Vehicle",18.43909,13.34084,13.03276
"V","Vehicle",14.56022,9.84708,8.94427
"V","Vehicle",20,16.62404,18
"V","Vehicle",28.63564,24.68143,26.75442
"V","Vehicle",45.60702,36.64214,40
"V","Vehicle",8,7.095,7.2111
"V","Vehicle",18.43909,11.01476,8.24621
"V","Vehicle",18,13.44304,16.12452
"V","Vehicle",25.45584,22.33236,21.54066
"V","Vehicle",18.97367,14.59373,15.23155
"V","Vehicle",18,15.42319,16
"V","Vehicle",13.41641,11.24728,11.6619
"V","Vehicle",28.63564,17.99625,17.88854
"V","Vehicle",20,17.31238,18
"V","Vehicle",16.12452,13.79936,14.4222
"V","Vehicle",21.26029,18.07764,18.16382
"V","Vehicle",26,22.39999,22.62742
"D","50 uM Dexa",16,13.17539,12.16553
"D","50 uM Dexa",22.80351,18.36031,19.79899
"D","50 uM Dexa",29.73214,21.63496,21.54066
"D","50 uM Dexa",35.38361,23.19607,22.36068
"D","50 uM Dexa",41.03657,27.06278,26.90725
"D","50 uM Dexa",29.73214,20.505,20.73594
"D","50 uM Dexa",26.07681,16.95993,17.08801
"D","50 uM Dexa",27.20294,17.61657,17.20465
"D","50 uM Dexa",26.90725,19.03185,20.59126
"D","50 uM Dexa",21.54066,12.90903,12.64911
"D","50 uM Dexa",29.12044,15.00423,12.64911
"D","50 uM Dexa",62,28.66473,24.89928
"D","50 uM Dexa",24.08319,17.18201,16.97056
"D","50 uM Dexa",22.62742,17.27635,17.88854
"D","50 uM Dexa",34,25.87529,26.83282
"D","50 uM Dexa",18.43909,15.35636,16.12452
"D","50 uM Dexa",19.69772,14.32905,12.80625
"D","50 uM Dexa",21.26029,15.50353,16.97056
"D","50 uM Dexa",30.26549,20.80506,20
"D","50 uM Dexa",39.69887,22.98676,22.36068
"D","50 uM Dexa",33.94112,24.57442,25.05993
"D","50 uM Dexa",25.6125,19.86833,21.26029
"D","50 uM Dexa",28.84441,21.00731,19.79899
"D","50 uM Dexa",21.54066,11.41697,10
"D","50 uM Dexa",37.94733,25.90097,24.33105
"D","50 uM Dexa",30.52868,27.14254,27.78489
